filename,width,height,class,xmin,ymin,xmax,ymax
02za_sep2014_img_6245_live.jpg,800,600,Mig-29,16,174,750,565
03.jpg,1500,844,Mig-29,120,71,1380,616
03876_smpw_mh_47e_chinook~1.jpg,2048,1536,chinook,188,253,1809,1206
04_Blue_Mikoyan_Mig-29_Russian_Air_Force_(8019116872).jpg,2304,1536,Mig-29,143,315,2189,993
090821-F-4707S-001~1.jpg,3008,2000,chinook,497,187,2312,879
1.jpg,852,480,Mig-29,362,149,852,384
1.jpg,852,480,Mig-29,105,124,391,365
1000w_q95~1.jpg,1000,667,chinook,371,236,901,471
1000x800~1.jpg,1000,562,chinook,224,60,747,351
1000x800~1.jpg,1000,562,HMMWV,452,361,633,488
10158266833_fa697a2821_b.jpg,780,520,Mig-29,9,26,762,490
1016484368.jpg,1000,541,Mig-29,32,148,719,361
1016484368.jpg,1000,541,Mig-29,396,61,956,214
1019401829.jpg,1000,541,Mig-29,89,47,950,473
1022530022.jpg,1000,541,Mig-29,67,104,902,429
1059779324.jpg,1000,541,Mig-29,52,73,721,363
1059779324.jpg,1000,541,Mig-29,719,180,993,304
1076354718.jpg,1000,541,Mig-29,85,16,721,400
1164617.jpg,1020,655,Mig-29,24,315,817,613
1164617.jpg,1020,655,Mig-29,49,111,1001,511
1178847.jpg,740,476,Mig-29,87,154,362,281
1178847.jpg,740,476,Mig-29,96,55,343,160
1178847.jpg,740,476,Mig-29,306,78,653,451
1183001.jpg,1020,655,Mig-29,97,126,576,602
1185826.jpg,1600,1086,Mig-29,42,239,1565,794
118775-untitled-design-12.jpg,918,506,Mig-29,104,73,908,467
12.jpg,800,600,Mig-29,35,59,771,490
145-1450982_download-this-wallpaper-mig-29-iphone.jpg,1920,1200,Mig-29,425,37,874,262
145-1450982_download-this-wallpaper-mig-29-iphone.jpg,1920,1200,Mig-29,522,513,939,733
145-1450982_download-this-wallpaper-mig-29-iphone.jpg,1920,1200,Mig-29,563,909,1049,1187
145-1450982_download-this-wallpaper-mig-29-iphone.jpg,1920,1200,Mig-29,806,262,1214,484
145-1450982_download-this-wallpaper-mig-29-iphone.jpg,1920,1200,Mig-29,1188,433,1656,676
